SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
579,18.432,36,10,protocol,7.5,400,4875,12.1875,240,229,0.954167,0.872117,0.834375,0.812382,0.792409,0.746649,0.677231,0.677231,0.677231,0.677231,0.46324,24
580,18.432,36,10,protocol,7.5,400,4807,12.0175,258,234,0.906977,0.863931,0.817544,0.797308,0.779992,0.736034,0.669688,0.669688,0.669688,0.669688,0.463077,24
581,18.432,36,10,protocol,7.5,400,4552,11.38,252,227,0.900794,0.870428,0.807927,0.780866,0.749793,0.699244,0.630682,0.630682,0.630682,0.630682,0.462887,24
582,18.432,36,10,protocol,7.5,400,4872,12.18,219,210,0.958904,0.869688,0.828174,0.805223,0.783177,0.744857,0.672185,0.672185,0.672185,0.672185,0.462748,24
583,18.432,36,10,protocol,7.5,400,4549,11.3725,214,195,0.911215,0.83237,0.780961,0.755814,0.734623,0.696689,0.628943,0.628943,0.628943,0.628943,0.462576,24
584,17.92,35,10,protocol,7.5,400,4652,11.63,260,231,0.888462,0.842004,0.791952,0.758977,0.741976,0.701426,0.646331,0.646331,0.646331,0.646331,0.462397,24
585,17.92,35,10,protocol,7.5,400,4948,12.37,270,249,0.922222,0.897566,0.839837,0.805664,0.788643,0.745417,0.687709,0.687709,0.687709,0.687709,0.462237,24
586,18.432,36,10,protocol,7.5,400,4784,11.96,228,209,0.916667,0.827331,0.794793,0.770775,0.755098,0.717201,0.663016,0.663016,0.663016,0.663016,0.462037,24
587,18.432,36,10,protocol,7.5,400,4825,12.0625,194,178,0.917526,0.852941,0.811582,0.796337,0.764972,0.718035,0.662727,0.662727,0.662727,0.662727,0.461866,24
588,17.408,34,10,protocol,7.5,400,4875,12.1875,240,227,0.945833,0.869328,0.818062,0.798969,0.771195,0.72201,0.667625,0.667625,0.667625,0.667625,0.461931,24
589,18.432,36,10,protocol,7.5,400,4702,11.755,250,233,0.932,0.849442,0.791071,0.765986,0.738115,0.691383,0.643581,0.643581,0.643581,0.643581,0.462485,24
590,17.92,35,10,protocol,7.5,400,4729,11.8225,296,270,0.912162,0.833638,0.788918,0.757771,0.728383,0.690783,0.640629,0.640629,0.640629,0.640629,0.462358,24
591,17.92,35,10,protocol,7.5,400,4897,12.2425,286,266,0.93007,0.866608,0.822434,0.784837,0.755037,0.713678,0.660951,0.660951,0.660951,0.660951,0.462195,24
592,18.432,36,10,protocol,7.5,400,5056,12.64,226,204,0.902655,0.846154,0.815378,0.79083,0.766897,0.725806,0.678255,0.678255,0.678255,0.678255,0.462292,24
593,18.432,36,10,protocol,7.5,400,4914,12.285,252,232,0.920635,0.850515,0.819539,0.783754,0.750781,0.707764,0.659949,0.659949,0.659949,0.659949,0.462173,24
594,17.92,35,10,protocol,7.5,400,5012,12.53,258,236,0.914729,0.844768,0.80069,0.775806,0.75653,0.70925,0.660295,0.660295,0.660295,0.660295,0.46224,24
595,18.944,37,10,protocol,7.5,400,5025,12.5625,249,218,0.875502,0.85506,0.809957,0.782132,0.754531,0.706665,0.658757,0.658757,0.658757,0.658757,0.462374,24
596,18.432,36,10,protocol,7.5,400,5300,13.25,298,280,0.939597,0.8906,0.863478,0.824793,0.796724,0.742857,0.688996,0.688996,0.688996,0.688996,0.462353,24
597,17.92,35,10,protocol,7.5,400,4737,11.8425,304,267,0.878289,0.824409,0.786019,0.741994,0.717785,0.663733,0.615795,0.615795,0.615795,0.615795,0.46258,24
