SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
552,20.48,40,10,protocol,7.5,500,7137,14.274000000000001,869,665,0.765247,0.6873600000000001,0.65282,0.629682,0.600833,0.569826,0.528405,0.528405,0.528405,0.528405,0.495174,20,50.0
600,20.48,40,10,protocol,7.5,300,3214,10.7133,140,135,0.9642860000000001,0.8632479999999999,0.834793,0.8181430000000001,0.802664,0.770555,0.7200810000000001,0.7200810000000001,0.7200810000000001,0.7200810000000001,0.450672,20,30.0
811,19.968,39,10,protocol,7.5,1000,18493,18.493,2173,1572,0.723424,0.57596,0.521385,0.49340500000000004,0.46248100000000003,0.424188,0.384817,0.384817,0.384817,0.384817,0.527749,20,100.0
986,18.432000000000002,36,10,protocol,7.5,1200,23649,19.7075,2906,2179,0.7498279999999999,0.577226,0.507791,0.470394,0.43626400000000004,0.396503,0.357711,0.357711,0.357711,0.357711,0.509147,20,120.0
461,18.432000000000002,36,10,protocol,7.5,600,9118,15.1967,760,607,0.7986840000000001,0.710738,0.647242,0.615433,0.5881390000000001,0.551887,0.5051829999999999,0.5051829999999999,0.5051829999999999,0.5051829999999999,0.506079,20,60.0
939,18.432000000000002,36,10,protocol,7.5,1300,33943,26.11,3884,2878,0.740989,0.597399,0.5362779999999999,0.499738,0.4710220000000001,0.43731400000000004,0.397731,0.397731,0.397731,0.397731,0.506999,20,130.0
263,14.847999999999999,29,10,protocol,7.5,1700,32725,19.25,6120,3464,0.566013,0.409921,0.347507,0.31695300000000004,0.288609,0.260235,0.233129,0.233129,0.233129,0.233129,0.47914300000000004,20,170.0
174,12.288,24,10,protocol,7.5,700,10562,15.0886,1018,827,0.812377,0.655154,0.604563,0.5793729999999999,0.556838,0.515847,0.46338100000000004,0.46338100000000004,0.46338100000000004,0.46338100000000004,0.511649,20,70.0
261,18.432000000000002,36,10,protocol,7.5,200,1800,9.0,72,71,0.9861110000000001,0.9818180000000001,0.9769450000000001,0.972864,0.9693879999999999,0.9482370000000001,0.9,0.9,0.9,0.9,0.402027,20,20.0
458,18.432000000000002,36,10,protocol,7.5,500,7132,14.264000000000001,809,708,0.8751549999999999,0.815466,0.771934,0.741192,0.7136680000000001,0.661763,0.598539,0.598539,0.598539,0.598539,0.495299,20,50.0
649,15.36,30,10,protocol,7.5,1500,27948,18.632,4646,2943,0.633448,0.481026,0.4089,0.372781,0.341238,0.304442,0.271287,0.271287,0.271287,0.271287,0.500132,20,150.0
401,14.847999999999999,29,10,protocol,7.5,1300,24325,18.7115,3674,2397,0.6524220000000001,0.48163500000000004,0.402904,0.363802,0.33914,0.30957399999999996,0.280389,0.280389,0.280389,0.280389,0.495382,20,130.0
500,10.24,20,10,protocol,7.5,900,14519,16.1322,1643,1154,0.7023739999999999,0.588643,0.525359,0.489917,0.459304,0.42117899999999997,0.377814,0.377814,0.377814,0.377814,0.5092979999999999,20,90.0
194,19.456,38,10,protocol,7.5,1000,17302,17.302,1925,1480,0.768831,0.6138859999999999,0.546125,0.513038,0.483401,0.43291,0.386629,0.386629,0.386629,0.386629,0.525594,20,100.0
452,15.36,30,10,protocol,7.5,2000,46044,23.022,9034,4943,0.5471550000000001,0.40280900000000003,0.347144,0.315888,0.291273,0.264896,0.238085,0.238085,0.238085,0.238085,0.474412,20,200.0
66,16.384,32,10,protocol,7.5,200,1413,7.065,58,58,1.0,0.995238,0.995475,0.987216,0.9766540000000001,0.9571649999999999,0.878977,0.878977,0.878977,0.878977,0.428342,20,20.0
65,14.335999999999999,28,10,protocol,7.5,1200,21970,18.3083,3570,2226,0.623529,0.48158500000000004,0.415336,0.380352,0.354663,0.3258,0.29747399999999996,0.29747399999999996,0.29747399999999996,0.29747399999999996,0.48340299999999997,20,120.0
929,20.48,40,10,protocol,7.5,500,6632,13.264000000000001,670,615,0.91791,0.8615229999999999,0.814948,0.800962,0.777512,0.722133,0.650569,0.650569,0.650569,0.650569,0.496554,20,50.0
733,17.408,34,10,protocol,7.5,1900,42307,22.2668,8412,4614,0.548502,0.401246,0.336805,0.30994,0.288129,0.263292,0.23947399999999996,0.23947399999999996,0.23947399999999996,0.23947399999999996,0.4782,20,190.0
277,18.432000000000002,36,10,protocol,7.5,300,3310,11.0333,98,93,0.9489799999999999,0.947284,0.933594,0.9111610000000001,0.8948790000000001,0.859392,0.8073170000000001,0.8073170000000001,0.8073170000000001,0.8073170000000001,0.46488999999999997,20,30.0
754,27.136,53,10,protocol,7.5,1400,38301,27.3579,4258,3269,0.767731,0.626735,0.5551590000000001,0.511965,0.477429,0.43966700000000003,0.40022800000000003,0.40022800000000003,0.40022800000000003,0.40022800000000003,0.501817,20,140.0
28,10.752,21,10,protocol,7.5,1300,26719,20.5531,4623,2912,0.629894,0.525579,0.455604,0.420177,0.393179,0.359491,0.325351,0.325351,0.325351,0.325351,0.51361,20,130.0
714,14.335999999999999,28,10,protocol,7.5,1200,21088,17.5733,3624,2238,0.61755,0.483337,0.432568,0.403428,0.379075,0.344684,0.31001100000000004,0.31001100000000004,0.31001100000000004,0.31001100000000004,0.5055,20,120.0
898,17.92,35,10,protocol,7.5,1400,31639,22.5993,4199,2759,0.657061,0.5360590000000001,0.463476,0.432087,0.403018,0.369033,0.335181,0.335181,0.335181,0.335181,0.504695,20,140.0
200,12.288,24,10,protocol,7.5,700,10318,14.74,1062,874,0.822976,0.686635,0.640617,0.613165,0.589919,0.545784,0.495508,0.495508,0.495508,0.495508,0.510497,20,70.0
327,22.528000000000002,44,10,protocol,7.5,600,9169,15.2817,560,468,0.835714,0.737954,0.683951,0.659887,0.636364,0.598182,0.551583,0.551583,0.551583,0.551583,0.50668,20,60.0
337,14.847999999999999,29,10,protocol,7.5,1300,32210,24.7769,3705,2759,0.7446689999999999,0.636057,0.566767,0.5312479999999999,0.502981,0.45396099999999995,0.408555,0.408555,0.408555,0.408555,0.489979,20,130.0
997,14.847999999999999,29,10,protocol,7.5,2000,49096,24.548000000000002,8753,4859,0.555124,0.3965,0.335108,0.301529,0.27968200000000004,0.257858,0.23449099999999998,0.23449099999999998,0.23449099999999998,0.23449099999999998,0.474022,20,200.0
277,15.36,30,10,protocol,7.5,1000,20553,20.553,1847,1494,0.808879,0.705121,0.646295,0.6151409999999999,0.57905,0.527228,0.474901,0.474901,0.474901,0.474901,0.526864,20,100.0
166,16.384,32,10,protocol,7.5,200,1426,7.13,154,154,1.0,1.0,0.987448,0.97836,0.972461,0.9581430000000001,0.8578309999999999,0.8578309999999999,0.8578309999999999,0.8578309999999999,0.4128560000000001,20,20.0
219,15.872,31,10,protocol,7.5,1500,30056,20.0373,4619,3058,0.662048,0.508321,0.440248,0.406273,0.375305,0.337265,0.304006,0.304006,0.304006,0.304006,0.499483,20,150.0
305,14.335999999999999,28,10,protocol,7.5,1400,26795,19.1393,3656,2484,0.679431,0.532828,0.45933999999999997,0.423529,0.39279200000000003,0.352576,0.311788,0.311788,0.311788,0.311788,0.49245900000000004,20,140.0
939,17.92,35,10,protocol,7.5,200,1538,7.69,120,119,0.991667,0.971649,0.950166,0.938776,0.9272729999999999,0.911465,0.828664,0.828664,0.828664,0.828664,0.40707,20,20.0
746,15.872,31,10,protocol,7.5,800,13070,16.3375,1244,948,0.762058,0.629897,0.566444,0.540904,0.5177229999999999,0.476471,0.4305350000000001,0.4305350000000001,0.4305350000000001,0.4305350000000001,0.516021,20,80.0
923,14.847999999999999,29,10,protocol,7.5,1100,20657,18.7791,2737,1875,0.6850569999999999,0.537143,0.471785,0.445775,0.41431899999999994,0.376212,0.342034,0.342034,0.342034,0.342034,0.514426,20,110.0
474,18.432000000000002,36,10,protocol,7.5,700,11211,16.0157,1307,999,0.764346,0.657827,0.5968359999999999,0.5608310000000001,0.524972,0.48455299999999996,0.44753699999999996,0.44753699999999996,0.44753699999999996,0.44753699999999996,0.510179,20,70.0
546,20.48,40,10,protocol,7.5,700,11158,15.94,1104,859,0.77808,0.6354420000000001,0.563558,0.52758,0.503063,0.468041,0.42981,0.42981,0.42981,0.42981,0.510119,20,70.0
141,20.48,40,10,protocol,7.5,200,1622,8.11,40,40,1.0,0.9818180000000001,0.9820260000000001,0.970218,0.951876,0.929109,0.860934,0.860934,0.860934,0.860934,0.41337799999999997,20,20.0
968,20.48,40,10,protocol,7.5,300,3488,11.6267,190,169,0.889474,0.876276,0.878409,0.869499,0.8565219999999999,0.833074,0.773392,0.773392,0.773392,0.773392,0.446747,20,30.0
916,20.48,40,10,protocol,7.5,1000,16164,16.164,2058,1425,0.69242,0.5475909999999999,0.46568699999999996,0.42102399999999995,0.391667,0.358189,0.32326900000000003,0.32326900000000003,0.32326900000000003,0.32326900000000003,0.5249149999999999,20,100.0
184,16.384,32,10,protocol,7.5,300,3152,10.5067,160,148,0.925,0.8887280000000001,0.891367,0.88623,0.864532,0.836152,0.785786,0.785786,0.785786,0.785786,0.466192,20,30.0
995,18.432000000000002,36,10,protocol,7.5,1000,17047,17.047,1849,1410,0.762574,0.619603,0.5560109999999999,0.504676,0.464175,0.41441999999999996,0.37049899999999997,0.37049899999999997,0.37049899999999997,0.37049899999999997,0.523818,20,100.0
40,20.48,40,10,protocol,7.5,600,10041,16.735,962,822,0.8544700000000001,0.7523,0.682667,0.650621,0.619293,0.583943,0.537938,0.537938,0.537938,0.537938,0.49934300000000004,20,60.0
